artist,language,position,title,week,year
Avicii feat. Sandro Cavazza,English,7,Without You,45,2017
Miriam Bryant,English,8,Rocket,45,2017
Magnus Uggla,Swedish,9,Världen Är Din,45,2017
Mando Diao,English,10,Shake,45,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",46,2017
Kamferdrops,Swedish,2,Jag Trodde Änglarna Fanns,46,2017
Magnus Carlson,Danish,3,Eternal Love,46,2017
Nano,English,4,Hold On,46,2017
Miriam Bryant,English,5,Rocket,46,2017
Zara Larsson,English,6,Only You,46,2017
Avicii feat. Sandro Cavazza,English,7,Without You,46,2017
Mando Diao,English,8,Shake,46,2017
Uno Svenningsson,Swedish,9,Du Kommer Ångra Det Här,46,2017
Magnus Uggla,Swedish,10,Världen Är Din,46,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",47,2017
Kamferdrops,Swedish,2,Jag Trodde Änglarna Fanns,47,2017
Darin,Swedish,3,Tvillingen,47,2017
Magnus Carlson,Danish,4,Eternal Love,47,2017
Nano,English,5,Hold On,47,2017
Zara Larsson,English,6,Only You,47,2017
Avicii feat. Sandro Cavazza,English,7,Without You,47,2017
Miriam Bryant,English,8,Rocket,47,2017
Mando Diao,English,9,Shake,47,2017
Uno Svenningsson,Swedish,10,Du Kommer Ångra Det Här,47,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",48,2017
Darin,Swedish,2,Tvillingen,48,2017
Kamferdrops,Swedish,3,Jag Trodde Änglarna Fanns,48,2017
Miriam Bryant,English,4,Rocket,48,2017
Magnus Carlson,Danish,5,Eternal Love,48,2017
Zara Larsson,English,6,Only You,48,2017
Nano,English,7,Hold On,48,2017
Avicii feat. Sandro Cavazza,English,8,Without You,48,2017
Mando Diao,English,9,Shake,48,2017
Uno Svenningsson,Swedish,10,Du Kommer Ångra Det Här,48,2017
Zara Larsson,English,1,Only You,49,2017
Ted Gärdestad,Swedish,2,"Sol, Vind Och Vatten",49,2017
Darin,Swedish,3,Tvillingen,49,2017
Kamferdrops,Swedish,4,Jag Trodde Änglarna Fanns,49,2017
Magnus Carlson,Danish,5,Eternal Love,49,2017
Nano,English,6,Hold On,49,2017
Avicii feat. Sandro Cavazza,English,7,Without You,49,2017
Miriam Bryant,English,8,Rocket,49,2017
Mando Diao,English,9,Shake,49,2017
Europe,English,10,Walk The Earth,49,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",50,2017
Darin,Swedish,2,Tvillingen,50,2017
Kamferdrops,Swedish,3,Jag Trodde Änglarna Fanns,50,2017
Zara Larsson,English,4,Only You,50,2017
Nano,English,5,Hold On,50,2017
Magnus Carlson,Danish,6,Eternal Love,50,2017
Avicii feat. Sandro Cavazza,English,7,Without You,50,2017
Mando Diao,English,8,Shake,50,2017
Miriam Bryant,English,9,Rocket,50,2017
Europe,English,10,Walk The Earth,50,2017
Ted Gärdestad,Swedish,1,"Sol, Vind Och Vatten",51,2017
Darin,Swedish,2,Tvillingen,51,2017
Kamferdrops,Swedish,3,Jag Trodde Änglarna Fanns,51,2017
Zara Larsson,English,4,Only You,51,2017
Nano,English,5,Hold On,51,2017
Miriam Bryant,English,6,Rocket,51,2017
